County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
Tulare,2016,947.0,779.0,103.0,860.0,514.0,987.0,566.0,4328.0,510.0,498.0,160.0,3079.0,102.0,67.0
Tulare,2017,1089.0,801.0,117.0,1034.0,562.0,1039.0,627.0,4372.0,492.0,473.0,239.0,3191.0,120.0,70.0
Tulare,2018,1131.0,1139.0,84.0,1085.0,555.0,1026.0,466.0,4392.0,482.0,454.0,127.0,3395.0,104.0,70.0
Tulare,2019,1034.0,1147.0,89.0,915.0,531.0,930.0,534.0,4173.0,407.0,526.0,92.0,3719.0,156.0,95.0
Tuolumne,2014,262.0,0.0,0.0,150.0,26.0,174.0,13.0,727.0,0.0,32.0,46.0,797.0,29.0,24.0
Tuolumne,2015,284.0,14.0,0.0,238.0,37.0,180.0,48.0,889.0,0.0,24.0,32.0,791.0,11.0,23.0
Tuolumne,2016,154.0,25.0,0.0,134.0,33.0,279.0,0.0,881.0,0.0,36.0,24.0,768.0,0.0,29.0
Tuolumne,2017,185.0,52.0,0.0,136.0,11.0,225.0,14.0,988.0,0.0,28.0,29.0,823.0,0.0,0.0
Tuolumne,2018,105.0,29.0,0.0,74.0,26.0,323.0,24.0,828.0,14.0,0.0,41.0,939.0,0.0,0.0
Tuolumne,2019,231.0,53.0,0.0,126.0,11.0,172.0,29.0,761.0,12.0,22.0,37.0,839.0,28.0,24.0
Ventura,2014,1456.0,1958.0,75.0,1672.0,435.0,1576.0,974.0,6982.0,615.0,459.0,535.0,7930.0,343.0,425.0
Ventura,2015,1690.0,2457.0,83.0,1952.0,541.0,1619.0,955.0,7538.0,851.0,432.0,637.0,8001.0,283.0,400.0
Ventura,2016,1703.0,2348.0,97.0,2269.0,612.0,1842.0,1088.0,7218.0,801.0,419.0,506.0,8036.0,315.0,465.0
Ventura,2017,1920.0,2583.0,94.0,2241.0,577.0,1836.0,1161.0,8164.0,810.0,446.0,543.0,7971.0,341.0,448.0
Ventura,2018,1879.0,2516.0,110.0,2267.0,680.0,1727.0,1056.0,8125.0,876.0,556.0,578.0,7737.0,216.0,550.0
Ventura,2019,1929.0,2581.0,90.0,2251.0,748.0,1609.0,1247.0,7907.0,793.0,369.0,549.0,7573.0,262.0,619.0
Yolo,2014,355.0,363.0,0.0,310.0,84.0,440.0,256.0,1277.0,147.0,58.0,65.0,1553.0,0.0,85.0
Yolo,2015,416.0,578.0,0.0,366.0,123.0,466.0,225.0,1519.0,134.0,60.0,88.0,1580.0,0.0,36.0
Yolo,2016,414.0,498.0,0.0,403.0,97.0,422.0,309.0,1431.0,112.0,109.0,96.0,1561.0,0.0,24.0
Yolo,2017,319.0,549.0,0.0,389.0,50.0,402.0,326.0,1554.0,202.0,197.0,84.0,1618.0,0.0,67.0
Yolo,2018,402.0,544.0,0.0,364.0,138.0,402.0,135.0,1488.0,247.0,142.0,62.0,1732.0,0.0,64.0
Yolo,2019,334.0,613.0,0.0,348.0,122.0,350.0,227.0,1594.0,244.0,104.0,83.0,1523.0,0.0,58.0
Yuba,2014,244.0,0.0,0.0,209.0,50.0,307.0,43.0,915.0,0.0,30.0,46.0,826.0,33.0,0.0
Yuba,2015,229.0,30.0,0.0,223.0,26.0,274.0,36.0,994.0,0.0,11.0,29.0,841.0,72.0,0.0
Yuba,2016,229.0,59.0,0.0,146.0,12.0,263.0,102.0,1014.0,13.0,88.0,26.0,992.0,33.0,0.0
Yuba,2017,332.0,99.0,0.0,198.0,96.0,352.0,49.0,937.0,0.0,88.0,61.0,820.0,107.0,0.0
Yuba,2018,251.0,139.0,0.0,112.0,38.0,282.0,42.0,1060.0,0.0,123.0,54.0,882.0,48.0,0.0
Yuba,2019,179.0,59.0,0.0,187.0,69.0,266.0,115.0,958.0,0.0,23.0,32.0,776.0,103.0,0.0
